Competência,País,UF,Município,Categoria,Sexo,Nível de Instrução,Salário,Faixa Etária,Carga Horária do Contrato,Status Migratório
202202,NATURALIDADE BRASILEIRA,35,999999,106,1,4,"1607,97",6,5,Sem Informação
202202,HAITI,42,999999,101,1,1,"1477,00",4,6,Permanente
202202,VENEZUELA,13,999999,101,3,4,"1272,45",4,6,Temporário
202202,VENEZUELA,13,999999,101,1,4,"1272,45",4,6,Temporário
202203,ARGENTINA,35,352440,101,1,6,"12107,88",6,6,Sem Informação
202203,EGITO,35,352440,101,1,6,"7138,00",4,6,Permanente
202203,MARROCOS,35,352440,101,1,6,"7138,00",4,6,Permanente
202203,NATURALIDADE BRASILEIRA,35,352720,101,1,6,"13743,03",7,6,Sem Informação
202203,COLÔMBIA,35,354850,101,1,4,"1554,45",5,6,Permanente
202203,CORÉIA DO NORTE,35,355030,101,1,4,"2800,00",5,6,Sem Informação
202203,NATURALIDADE BRASILEIRA,42,421670,101,3,4,"1510,00",2,6,Sem Informação
202203,NATURALIDADE BRASILEIRA,43,999999,101,1,6,"9000,00",5,6,Sem Informação
202203,HAITI,35,999999,101,1,4,"1639,00",5,6,Sem Informação
202203,HAITI,41,999999,101,3,4,"1529,00",4,6,Sem Informação
202203,HAITI,42,999999,101,1,4,"1423,38",4,6,Permanente
202203,NATURALIDADE BRASILEIRA,35,999999,101,1,5,"8162,99",3,6,Sem Informação
202203,PORTUGAL,42,999999,101,3,4,"10000,00",1,6,Sem Informação
202203,URUGUAI,42,999999,101,1,4,"1700,00",5,6,Sem Informação
202203,HAITI,42,999999,101,1,6,"2300,00",5,6,Sem Informação
202203,VENEZUELA,13,999999,101,1,4,"1212,00",3,6,Sem Informação
202203,VENEZUELA,42,999999,101,1,4,"1312,28",4,6,Refugiado/Solicitante de Refúgio
202203,ARGENTINA,33,999999,101,1,4,"1434,00",4,6,Permanente
202203,VENEZUELA,13,999999,101,3,2,"1212,00",5,6,Refugiado/Solicitante de Refúgio
202203,VENEZUELA,13,999999,101,1,4,"1212,00",4,6,Sem Informação
202203,NATURALIDADE BRASILEIRA,42,999999,111,1,6,"15400,00",6,6,Sem Informação
202203,VENEZUELA,14,999999,101,1,3,"1212,20",5,6,Sem Informação
202203,VENEZUELA,14,999999,101,1,1,"2017,22",6,6,Temporário
202203,BOLÍVIA,11,999999,101,1,6,"1212,00",5,6,Sem Informação
202203,HAITI,51,999999,101,1,4,"2218,73",5,6,Sem Informação
202203,HAITI,52,999999,101,1,4,"1212,00",4,6,Permanente
202203,PARAGUAI,35,999999,101,1,4,"1212,00",2,6,Sem Informação
202203,VENEZUELA,51,999999,101,1,4,"1766,60",5,6,Refugiado/Solicitante de Refúgio
202204,EGITO,33,330010,101,1,1,"1587,32",7,6,Permanente
202204,VENEZUELA,13,999999,101,1,4,"1331,87",4,7,Refugiado/Solicitante de Refúgio
202204,NATURALIDADE BRASILEIRA,13,999999,101,1,4,"1189,70",4,7,Refugiado/Solicitante de Refúgio
202204,VENEZUELA,13,999999,101,1,4,"1189,70",4,7,Sem Informação
202204,HAITI,35,999999,101,1,2,"1346,15",4,6,Sem Informação
202204,HAITI,42,999999,101,3,3,"1202,47",3,5,Permanente
202204,NATURALIDADE BRASILEIRA,33,999999,101,1,4,"1308,80",2,6,Sem Informação
202204,PARAGUAI,41,999999,101,1,1,"1818,00",4,6,Sem Informação
202204,HAITI,35,999999,101,1,4,"1752,80",4,6,Sem Informação
202204,NATURALIDADE BRASILEIRA,35,999999,101,1,4,"1351,54",2,6,Sem Informação
202204,NATURALIDADE BRASILEIRA,53,999999,101,1,4,"1600,00",4,6,Sem Informação
202204,NATURALIDADE BRASILEIRA,42,999999,111,1,2,"2250,00",3,5,Permanente
202204,VENEZUELA,42,999999,101,1,4,"1222,93",3,6,Sem Informação
202205,MÉXICO,35,352500,101,1,7,"52513,12",5,6,Sem Informação
202205,ARÁBIA SAUDITA,35,352680,101,1,4,"1804,56",4,6,Sem Informação
202205,EGITO,41,411460,101,1,4,"1496,00",4,6,Sem Informação
202205,PARAGUAI,52,520870,101,1,4,"2314,84",4,7,Permanente
202205,ARGENTINA,35,999999,101,3,6,"38740,33",5,6,Sem Informação
202205,HAITI,42,999999,101,1,3,"3249,00",5,6,Permanente
202205,HAITI,33,999999,106,1,4,"2030,19",5,7,Sem Informação
202205,VENEZUELA,42,999999,101,1,4,"1704,63",4,6,Sem Informação
202205,VENEZUELA,31,999999,101,3,4,"1359,00",5,6,Sem Informação
202205,VENEZUELA,31,999999,101,3,4,"1359,00",5,6,Sem Informação
202205,VENEZUELA,14,999999,101,1,3,"2424,00",2,6,Sem Informação
202205,VENEZUELA,13,999999,101,3,4,"1212,00",4,6,Refugiado/Solicitante de Refúgio
202205,ESTADOS UNIDOS,33,999999,101,1,6,"65649,07",6,5,Temporário
202205,PORTUGAL,43,999999,101,1,6,"1212,00",6,5,Temporário
202205,VENEZUELA,13,999999,101,3,4,"1212,00",3,6,Sem Informação
202205,HAITI,42,999999,101,3,2,"1322,72",4,6,Permanente
202205,HAITI,42,999999,101,3,4,"1111,75",3,5,Sem Informação
202206,RÚSSIA,33,330455,101,3,6,"13512,85",4,7,Sem Informação
202206,NATURALIDADE BRASILEIRA,35,350460,101,1,3,"1588,00",2,6,Sem Informação
202206,NATURALIDADE BRASILEIRA,35,350460,101,1,3,"1588,00",4,6,Sem Informação
202206,HAITI,35,352520,101,3,4,"1667,00",4,6,Permanente
202206,VENEZUELA,11,999999,101,1,4,"1235,00",5,6,Sem Informação
202206,VENEZUELA,52,999999,101,1,4,"1454,40",2,6,Sem Informação
202206,VENEZUELA,35,999999,101,1,4,"1266,90",2,6,Sem Informação
